Cas20713,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc
0,58.5866905848325,145.743122286762,58.5866905848325,145.743122286762,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,42.5555643934794,238.080292490261,42.5555643934794,238.080292490261,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,143.895581996753,45.1537841008624,143.895581996753,45.1537841008624,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,92.3493201830903,167.06109629593,92.3493201830903,167.06109629593,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,71.7513408011473,48.3664809749628,71.7513408011473,48.3664809749628,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,88.3613827273686,35.7823059718416,88.3613827273686,35.7823059718416,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,56.0444613454732,22.5436956824169,56.0444613454732,22.5436956824169,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,225.498690091469,235.150465354622,225.498690091469,235.150465354622,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,108.410823172941,104.454504464837,108.410823172941,104.454504464837,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,212.678178042194,75.3196728517848,212.678178042194,75.3196728517848,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,61.8013744535569,200.37109158312,61.8013744535569,200.37109158312,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,137.413982477779,63.4990673158971,137.413982477779,63.4990673158971,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,148.356805681728,233.917502822125,148.356805681728,233.917502822125,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,32.9950706417157,233.869340344779,32.9950706417157,233.869340344779,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,150.587808950025,207.252387973384,150.587808950025,207.252387973384,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,226.612563128222,89.0015759368516,226.612563128222,89.0015759368516,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,23.1303454658381,131.066023133415,23.1303454658381,131.066023133415,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,217.280766045192,214.451147209307,217.280766045192,214.451147209307,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,58.5821875871922,28.5065865982373,58.5821875871922,28.5065865982373,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,10.2625835052045,230.897272451439,10.2625835052045,230.897272451439,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,171.242074633931,132.854453773623,171.242074633931,132.854453773623,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,176.090264421464,226.787287510597,176.090264421464,226.787287510597,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,45.7484382462736,35.2393039479331,45.7484382462736,35.2393039479331,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,41.4396715917363,159.864974550884,41.4396715917363,159.864974550884,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,184.800904799533,232.908168736156,184.800904799533,232.908168736156,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,36.9857628309837,143.106450507975,36.9857628309837,143.106450507975,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,106.137789811955,188.085133850241,106.137789811955,188.085133850241,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,196.908264732628,142.252072534564,196.908264732628,142.252072534564,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,127.361556749121,220.339567050462,127.361556749121,220.339567050462,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,84.4271209187611,239.058150582165,84.4271209187611,239.058150582165,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,163.175817002167,114.16395524557,163.175817002167,114.16395524557,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,97.5872382432127,92.7310650392573,97.5872382432127,92.7310650392573,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,143.300584167439,20.6423979401937,143.300584167439,20.6423979401937,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,22.2827001068369,167.043078377459,22.2827001068369,167.043078377459,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,68.8396918057359,184.401618305241,68.8396918057359,184.401618305241,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,30.3707771386987,200.631388583824,30.3707771386987,200.631388583824,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,140.216191063968,87.3448620282602,140.216191063968,87.3448620282602,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,230.658244139903,149.826196713646,230.658244139903,149.826196713646,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,210.149366038572,196.301819177215,210.149366038572,196.301819177215,1000,10000,320,0,1,0,1,1,1,0,1,0,0
