Cas20713	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
0	181.16346475028	119.098650899605	181.16346475028	119.098650899605	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.575640516253	120.700271876017	180.575640516253	120.700271876017	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.391348375709	120.241071142444	181.391348375709	120.241071142444	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	179.683330141411	118.645697800772	179.683330141411	118.645697800772	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.514675177195	119.953220040448	181.514675177195	119.953220040448	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.49487203076	121.232578744401	181.49487203076	121.232578744401	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.633427309306	120.041090350312	181.633427309306	120.041090350312	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.87683702446	120.83243417891	180.87683702446	120.83243417891	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.767508910936	119.831463302096	180.767508910936	119.831463302096	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.995081933874	120.377517166925	181.995081933874	120.377517166925	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.085817023209	119.226676343489	181.085817023209	119.226676343489	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.629134204676	120.530163519684	180.629134204676	120.530163519684	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.874038868406	121.268218987952	181.874038868406	121.268218987952	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.907173428478	120.227637433207	180.907173428478	120.227637433207	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.0910688554	119.807922569681	181.0910688554	119.807922569681	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.32775861934	119.566204479852	182.32775861934	119.566204479852	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.092477146114	120.233211649775	181.092477146114	120.233211649775	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.800396483504	119.321425617029	181.800396483504	119.321425617029	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.224119882168	120.074687421574	181.224119882168	120.074687421574	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.9558029513159	68.4591063195204	74.9558029513159	68.4591063195204	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	73.5742207844937	69.2727735836599	73.5742207844937	69.2727735836599	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.5237666944409	67.8324341775653	74.5237666944409	67.8324341775653	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	75.5211277934697	69.2409137405023	75.5211277934697	69.2409137405023	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.5737568432443	69.251933892765	74.5737568432443	69.251933892765	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.2902413733316	68.9290489502538	74.2902413733316	68.9290489502538	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.6761661136332	68.5988443838722	74.6761661136332	68.5988443838722	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	75.3843868922311	68.3413254810042	75.3843868922311	68.3413254810042	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.7053416237922	68.4497207032422	74.7053416237922	68.4497207032422	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.1282995582237	68.3704167806172	74.1282995582237	68.3704167806172	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	75.0083788352649	68.2377287120724	75.0083788352649	68.2377287120724	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	73.5685882358494	69.7444130681855	73.5685882358494	69.7444130681855	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.7277557107633	69.491660632123	74.7277557107633	69.491660632123	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.9597860482043	69.353552040343	74.9597860482043	69.353552040343	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	73.6644994747649	69.249796836569	73.6644994747649	69.249796836569	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.5277365010349	68.5327176949747	74.5277365010349	68.5327176949747	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.6548182892605	69.5740961293783	74.6548182892605	69.5740961293783	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	74.1588777912319	68.9006096413472	74.1588777912319	68.9006096413472	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	73.9773002736334	68.5382582171142	73.9773002736334	68.5382582171142	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	73.6665951245852	69.4438178428964	73.6665951245852	69.4438178428964	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	73.9815753429079	68.4634800711136	73.9815753429079	68.4634800711136	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	73.8843155912852	69.5290168236934	73.8843155912852	69.5290168236934	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	73.8984844816389	69.3728825758399	73.8984844816389	69.3728825758399	1000	10000	320	0	1	0	1	1	1	0	1	0	0
